key,Reference,TG1,TV1,ALT2
A1,0.000000,0.000000,0.000000,0.000000
A2,71.895000,72.398000,72.211000,72.639000
A3,216.612000,218.127000,217.566000,218.855000
A4,65.409000,66.982000,65.697000,66.086000
A5,51.403000,52.466000,51.629000,51.935000
A6,26.235000,26.418000,26.350000,26.506000
A7,7.627000,7.307000,7.661000,7.706000
V8,3.677000,3.798000,3.717000,3.715000
V9,0.056750,0.058610,0.057000,0.057340
V10,0.410900,0.424400,0.412700,0.415100
V11,14.311000,14.780000,14.373000,14.459000
V12,36.006000,37.188000,36.164000,36.379000
V13,48.035000,49.612000,48.246000,48.532000
GN,213.810000,215.305000,214.751000,216.023000
WC,77.742000,78.285000,78.084000,78.546000
WTG,142.202000,141.511000,142.828000,143.674000
WTV,38.002000,39.250000,37.720000,38.395000
WB,0.412700,0.426300,0.414500,0.417000
WN,100.000000,100.000000,100.000000,100.000000
QC,3.401000,3.512000,3.438000,3.436000
QG,7.627000,7.307000,7.661000,7.706000
