key,Reference,GEN97,T79,C79,R78,T50
B1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B2,3559.000000,3596.000000,3647.000000,3618.000000,3557.000000,3837.000000
B3,2899.000000,2929.000000,2971.000000,2933.000000,2898.000000,3126.000000
B4,7514.000000,7592.000000,7700.000000,7631.000000,7510.000000,8101.000000
B5,17330.000000,17509.000000,17828.000000,17544.000000,17031.000000,17789.000000
B6,27655.000000,27940.000000,28340.000000,27982.000000,27648.000000,28249.000000
B7,16800.000000,16973.000000,17311.000000,16998.000000,16796.000000,16957.000000
B8,24703.000000,24957.000000,25312.000000,24994.000000,24696.000000,25050.000000
B9,14619.000000,14770.000000,15069.000000,14791.000000,14615.000000,14564.000000
B10,3634.000000,3671.000000,3736.000000,3706.000000,3858.000000,3742.000000
F1,14109.000000,14254.000000,14358.000000,14261.000000,14534.000000,14465.000000
F2,10683.000000,10793.000000,10810.000000,10809.000000,10680.000000,11070.000000
WC1,4145.000000,4188.000000,4248.000000,4247.000000,4143.000000,4469.000000
WC2,5248.000000,5302.000000,5378.000000,5377.000000,5245.000000,5658.000000
WT1,10152.000000,10257.000000,10274.000000,10272.000000,10150.000000,10533.000000
WT2,9445.000000,9542.000000,9556.000000,9556.000000,9442.000000,9797.000000
WN,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000
QI,660.000000,667.000000,676.000000,685.000000,659.000000,711.000000
QG,3634.000000,3671.000000,3736.000000,3706.000000,3858.000000,3742.000000
