Key,BOIL,TURA,TURB,PUMB,DESG,PUMA,ALTR,EVAP,COND,ENV,Total
BOIL,0,18335.0232046898,7539.49777723498,0,3120.68679658036,0,0,16436.809037616,1046.98318387885,0,46479
TURA,0,0,0,0,0,0,19870.8889278527,0,0,0,19870.8889278527
TURB,0,0,0,0,0,0,8171.05717460495,0,0,0,8171.05717460495
PUMB,0,0,0,0,13.2697718191592,0,0,0,0,0,13.2697718191592
DESG,0,1339.40322054455,550.772556509991,0,227.97123837735,0,0,1200.73559300582,76.4838218467387,0,3395.36643028445
PUMA,0,196.462502618381,80.7868408599794,0,33.4386235075773,0,0,176.122855288478,11.2185806479692,0,498.029402922385
ALTR,0,0,0,13.2697718191592,0,498.029402922385,0,0,0,27530.6469277161,28041.9461024577
EVAP,0,0,0,0,0,0,0,0,0,17813.6674859103,17813.6674859103
COND,0,0,0,0,0,0,0,0,0,1134.68558637355,1134.68558637355
ENV,46479,0,0,0,0,0,0,0,0,0,46479
Total,46479,19870.8889278527,8171.05717460495,13.2697718191592,3395.36643028445,498.029402922385,28041.9461024577,17813.6674859103,1134.68558637355,46479,171896.910882225
