Key,B1,B2,B3,B4,B5,B6,B7,B8,B9,GN,WTA,WTB,WBB,WBA,WN,QV,QC
BOIL,1.44458116248101,1.44458116248101,1.44458116248101,1.44458116248101,1.44458116248101,1.57067268557924,1.44458116248101,1.77806740400888,1.7912040720896,0,1.54523683759891,1.68602170475156,1.6161571923293,1.6161571923293,1.6161571923293,1.50573405834414,1.44458116248101
TURA,0.000507774251740103,0.000507774251740103,0.000507774251740103,0.000507774251740103,0.000507774251740103,0.0217178489384572,0.000507774251740103,0.000847037739201585,0.00814587690683379,0,0.070221258058392,0.000592641266398247,0.0522090084437531,0.0522090084437531,0.0522090084437531,0.000529269662828885,0.000507774251740103
TURB,0.000459024062171899,0.000459024062171899,0.000459024062171899,0.000459024062171899,0.000459024062171899,0.0196327702856205,0.000459024062171899,0.000765715674886604,0.00736381077794575,0,0.000491007988082936,0.167671068329856,0.0471965466064726,0.0471965466064726,0.0471965466064726,0.000478455750332955,0.000459024062171899
PUMB,2.40366445946997e-05,2.40366445946997e-05,2.40366445946997e-05,2.40366445946997e-05,2.40366445946997e-05,0.0386315768808933,2.40366445946997e-05,0.000434581121570258,0.000385603538286444,0,2.5711472393986e-05,2.80540170041126e-05,2.6891528873655e-05,2.6891528873655e-05,2.6891528873655e-05,2.50541785775423e-05,2.40366445946997e-05
DESG,0.0136468843848674,0.0136468843848674,0.0136468843848674,0.0136468843848674,0.0136468843848674,0.0148380645568959,0.0136468843848674,0.246734867612224,0.218927682882629,0,0.0145977734014842,0.0159277608435684,0.0152677543666777,0.0152677543666777,0.0152677543666777,0.0142245926655226,0.0136468843848674
PUMA,0.00137125351322185,0.00137125351322185,0.00137125351322185,0.00137125351322185,0.00137125351322185,0.00149094456868251,0.00137125351322185,0.00168781182935056,0.0219980873163412,0,0.00146679985683752,0.00160043841499232,0.00153412025953193,0.00153412025953193,0.00153412025953193,0.00142930225805803,0.00137125351322185
ALTR,0.000201063158084465,0.000201063158084465,0.000201063158084465,0.000201063158084465,0.000201063158084465,0.0085996075606499,0.000201063158084465,0.000335401179317311,0.00322551947177821,0,0.000215072857535045,0.00023466791438294,0.0206731792370054,0.0206731792370054,0.0206731792370054,0.000209574687022813,0.000201063158084465
EVAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423326133909287,0
COND,0.0542461309521673,0.0542461309521673,0.0542461309521673,0.0542461309521673,0.0542461309521673,0.0645186099716274,0.0542461309521673,0.23824491283595,0.219823893647721,0,0.0639446510513624,0.0959789306117674,0.0741997844410816,0.0741997844410816,0.0741997844410816,0.0565425114417191,0.0542461309521673
ENV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total,2.51503732944786,2.51503732944786,2.51503732944786,2.51503732944786,2.51503732944786,2.74010210834206,2.51503732944786,3.26711773200138,3.27107454663113,1,2.696199112285,2.96805526614953,2.82726447721269,2.82726447721269,2.82726447721269,2.62150543237913,2.51503732944786
