Key,BOIL,TURA,TURB,PUMB,DESG,PUMA,ALTR,EVAP,COND
BOIL,1.42153798061894,1.54523683759891,1.68602170475156,1.78421384952524,1.77806740400888,1.88621184575723,1.6161571923293,1.50573405834414,1.44458116248101
TURA,0,0.070221258058392,0.000592641266398247,0.0576379800043266,0.000847037739201585,0.060932965338548,0.0522090084437531,0.000529269662828885,0.000507774251740103
TURB,0,0.000491007988082936,0.167671068329856,0.0521042956122762,0.000765715674886604,0.0550829372974896,0.0471965466064726,0.000478455750332956,0.000459024062171899
PUMB,0,2.5711472393986e-05,2.80540170041126e-05,0.104015029127158,0.000434581121570258,3.13850166015711e-05,2.6891528873655e-05,2.50541785775423e-05,2.40366445946997e-05
DESG,0,0.0145977734014842,0.0159277608435684,0.0168553770149763,0.246734867612224,0.017818946870529,0.0152677543666777,0.0142245926655226,0.0136468843848674
PUMA,0,0.00146679985683752,0.00160043841499232,0.00169364627827391,0.00168781182935056,0.168887240999673,0.00153412025953193,0.00142930225805803,0.00137125351322185
ALTR,0,0.000215072857535045,0.00023466791438294,0.0228228868351732,0.000335401179317311,0.0241276007998341,0.0206731792370054,0.000209574687022813,0.000201063158084465
EVAP,0,0,0,0,0,0,0,0.0423326133909288,0
COND,0.0432386689744906,0.0639446510513624,0.0959789306117674,0.0819154743486058,0.23824491283595,0.0865983290670429,0.0741997844410816,0.0565425114417191,0.0542461309521673
ENV,1,1,1,1,1,1,1,1,1
Total,2.46477664959343,2.696199112285,2.96805526614953,3.12125853874603,3.26711773200138,3.29969125114694,2.82726447721269,2.62150543237913,2.51503732944786
